"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.498,0.567,0.686,"CO","FullTime",0.439
0.478,0.513,0.558,"CO","FullTime",0.5465
0.739,0.803,0.829,"CO","FullTime",0.8713
0.502,0.555,0.631,"CO","FullTime",0.575
0.556,0.61,0.652,"CO","FullTime",0.7283
0.623,0.657,0.694,"CO","FullTime",0.6345
0.23,0.286,0.392,"CO","FullTime",0.6207
0.518,0.57,0.513,"CO","FullTime",0.6667
0.64,0.712,0.763,"CO","FullTime",0.7149
0.426,0.469,0.494,"CO","FullTime",0.4721
0.54,0.575,0.639,"CO","FullTime",0.4875
0.473,0.495,0.578,"CO","FullTime",0.5227
0.624,0.684,0.664,"CO","FullTime",0.6311
0.526,0.581,0.668,"CO","FullTime",0.6401
0.694,0.801,0.769,"CT","FullTime",0.6899
0.53,0.58,0.603,"CT","FullTime",0.5238
0.571,0.671,0.696,"CT","FullTime",0.7095
0.704,0.754,0.786,"CT","FullTime",0.7645
0.711,0.753,0.619,"CT","FullTime",1
0.771,0.828,0.859,"CT","FullTime",0.9363
0.664,0.742,0.775,"CT","FullTime",0.7712
0.663,0.733,0.766,"CT","FullTime",0.735
NA,NA,NA,"CT","FullTime",1
0.429,0.503,0.568,"CT","FullTime",0.6471
0.7,0.776,0.84,"CT","FullTime",0.7887
0.519,0.493,0.536,"CT","FullTime",1
0.603,0.625,0.705,"CT","FullTime",0.3934
0.838,0.878,0.888,"CT","FullTime",0.8634
0.706,0.764,0.805,"CT","FullTime",0.768
0.668,0.735,0.765,"CT","FullTime",0.7792
0.649,0.729,0.761,"CT","FullTime",0.733
0.504,0.597,0.659,"DE","FullTime",0.7067
0.785,0.847,0.861,"DE","FullTime",0.9128
0.643,0.703,0.772,"DE","FullTime",0.8165
0.69,0.722,0.736,"DE","FullTime",0.6559
0.761,0.822,0.838,"DC","FullTime",0.898
0.528,0.552,0.597,"DC","FullTime",0.7333
0.81,0.869,0.878,"DC","FullTime",0.9136
0.64,0.729,0.762,"DC","FullTime",0.94
0.59,0.679,0.744,"DC","FullTime",0.375
0.577,0.623,0.663,"DC","FullTime",0.5747
0.458,0.516,0.536,"FL","FullTime",0.3273
0.454,0.573,0.57,"FL","FullTime",0.7188
0.694,0.738,0.765,"FL","FullTime",0.6138
0.384,0.489,0.535,"FL","FullTime",0.6701
0.604,0.653,0.664,"FL","FullTime",0.6948
0.466,0.548,0.541,"FL","FullTime",0.7143
0.68,0.741,0.777,"FL","FullTime",0.8956
0.478,0.601,0.59,"FL","FullTime",0.5385
0.544,0.682,0.71,"FL","FullTime",0.8168
0.77,0.825,0.854,"FL","FullTime",0.7992
0.467,0.595,0.684,"FL","FullTime",0.826
0.658,0.713,0.744,"FL","FullTime",0.7925
0.794,0.815,0.821,"FL","FullTime",0.7945
0.656,0.751,0.828,"FL","FullTime",0.7958
0.684,0.731,0.764,"FL","FullTime",0.8841
0.659,0.71,0.736,"FL","FullTime",0.7978
0.672,0.752,0.787,"FL","FullTime",0.9355
0.735,0.797,0.832,"FL","FullTime",0.9606
0.438,0.493,0.552,"FL","FullTime",0.6634
0.713,0.739,0.789,"FL","FullTime",0.7132
0.5,0.552,0.565,"FL","FullTime",0.8951
0.68,0.66,0.732,"GA","FullTime",0
0.745,0.822,0.83,"FL","FullTime",0.9089
0.667,0.736,0.754,"FL","FullTime",0.8088
0.708,0.739,0.744,"FL","FullTime",0.7852
0.618,0.68,0.695,"FL","FullTime",0.7615
0.673,0.719,0.754,"FL","FullTime",0.9021
0.606,0.706,0.722,"FL","FullTime",0.7837
0.535,0.598,0.641,"FL","FullTime",0.6687
0.693,0.759,0.795,"FL","FullTime",0.7777
0.36,0.512,0.574,"FL","FullTime",0.6351
0.609,0.668,0.679,"FL","FullTime",0.573
0.574,0.643,0.712,"FL","FullTime",0.7702
0.459,0.553,0.585,"GA","FullTime",0.659
0.42,0.556,0.598,"GA","FullTime",0.7064
0.604,0.701,0.699,"GA","FullTime",0.65
0.408,0.494,0.548,"GA","FullTime",0.2619
0.487,0.526,0.59,"GA","FullTime",0.5204
0.352,0.403,0.5,"GA","FullTime",0.7143
0.469,0.536,0.637,"GA","FullTime",0.7021
0.438,0.426,0.518,"GA","FullTime",0
0.684,0.698,0.753,"GA","FullTime",0.6513
