"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.627,0.675,0.725,"MO","FullTime",0.7921
0.682,0.743,0.786,"MT","FullTime",0.8373
0.552,0.609,0.613,"MT","FullTime",0.5704
0.515,0.579,0.583,"MT","FullTime",0.6882
0.659,0.664,0.706,"MT","FullTime",0.7366
0.607,0.691,0.729,"MT","FullTime",0.7614
0.528,0.589,0.646,"MT","FullTime",0.6921
0.597,0.623,0.655,"MT","FullTime",0.6022
0.567,0.675,0.704,"MT","FullTime",0.6698
0.35,0.333,0.426,"MT","FullTime",0.6452
0.465,0.559,0.554,"MT","FullTime",0.7723
0.78,0.8,0.824,"NE","FullTime",0.7407
0.877,0.853,0.903,"NE","FullTime",0.9
0.606,0.62,0.703,"NE","FullTime",0.6571
0.473,0.561,0.571,"NE","FullTime",0.5143
0.657,0.721,0.757,"NE","FullTime",0.7932
0.668,0.759,0.776,"NE","FullTime",0.7624
0.432,0.514,0.595,"NE","FullTime",1
0.699,0.769,0.797,"NE","FullTime",0.8285
0.599,0.633,0.705,"NE","FullTime",0.5681
0.615,0.694,0.683,"NE","FullTime",0.8029
0.627,0.674,0.685,"NE","FullTime",0.6851
0.447,0.589,0.529,"NV","FullTime",0.4059
0.665,0.717,0.749,"NV","FullTime",0.7444
0.671,0.725,0.761,"NV","FullTime",0.8135
0.457,0.511,0.537,"NV","FullTime",0.7619
0.472,0.611,0.7,"NV","FullTime",0.6774
0.519,0.645,0.689,"NH","FullTime",0.5044
0.705,0.746,0.771,"NH","FullTime",0.579
0.649,0.711,0.753,"NH","FullTime",0.7118
0.626,0.693,0.751,"NH","FullTime",0.6834
0.733,0.76,0.763,"NH","FullTime",0.7286
0.816,0.869,0.86,"NH","FullTime",0.8917
0.588,0.638,0.619,"NH","FullTime",0.4286
0.539,0.608,0.687,"NJ","FullTime",0.6198
0.534,0.606,0.673,"NJ","FullTime",0.6282
0.672,0.696,0.745,"NJ","FullTime",0.7806
0.665,0.727,0.768,"NJ","FullTime",0.7378
0.665,0.727,0.768,"NJ","FullTime",0.809
0.681,0.769,0.8,"NJ","FullTime",0.8468
0.59,0.677,0.722,"NJ","FullTime",0.7717
0.628,0.72,0.764,"NJ","FullTime",0.7631
0.657,0.743,0.786,"NJ","FullTime",0.8045
0.805,0.832,0.864,"NJ","FullTime",0.8394
0.716,0.765,0.812,"NJ","FullTime",0.8032
0.734,0.8,0.831,"NJ","FullTime",0.8807
0.734,0.8,0.831,"NJ","FullTime",0.9355
0.734,0.8,0.831,"NJ","FullTime",0.8414
0.75,0.807,0.841,"NJ","FullTime",0.854
0.639,0.706,0.768,"NJ","FullTime",0.8711
0.809,0.854,0.872,"NJ","FullTime",0.9388
0.631,0.694,0.759,"NJ","FullTime",0.7704
0.436,0.499,0.529,"NM","FullTime",0.6318
0.205,0.328,0.24,"NM","FullTime",0.6071
0.518,0.569,0.665,"NM","FullTime",0.4534
0.678,0.726,0.771,"NM","FullTime",0.7409
0.502,0.598,0.642,"NM","FullTime",0.7829
0.436,0.533,0.604,"NM","FullTime",0.7386
0.395,0.427,0.497,"NM","FullTime",0.5797
0.639,0.672,0.657,"NM","FullTime",0.4688
0.432,0.467,0.551,"NM","FullTime",0.6275
0.664,0.738,0.747,"NY","FullTime",0.7662
0.741,0.803,0.84,"NY","FullTime",0.7984
0.895,0.953,0.951,"NY","FullTime",0.8039
0.751,0.799,0.808,"NY","FullTime",0.9544
0.545,0.624,0.69,"NY","FullTime",0.541
0.84,0.852,0.877,"NY","FullTime",0.9749
0.621,0.682,0.746,"NY","FullTime",0.7554
0.842,0.881,0.901,"NY","FullTime",0.9713
0.725,0.763,0.801,"NY","FullTime",0.8979
0.585,0.672,0.706,"NY","FullTime",0.8152
0.518,0.627,0.674,"NY","FullTime",0.7649
0.571,0.676,0.741,"NY","FullTime",0.8593
0.611,0.697,0.741,"NY","FullTime",0.8336
0.568,0.658,0.736,"NY","FullTime",0.7789
0.619,0.695,0.74,"NY","FullTime",0.8318
0.469,0.542,0.622,"NY","FullTime",0.7048
0.517,0.631,0.684,"NY","FullTime",0.785
0.599,0.695,0.74,"NY","FullTime",0.8383
0.551,0.632,0.701,"NY","FullTime",0.7073
0.739,0.738,0.755,"NY","FullTime",0.7866
0.631,0.746,0.776,"NY","FullTime",0.6473
0.716,0.731,0.723,"NY","FullTime",0.8902
0.434,0.515,0.618,"NY","FullTime",0.6276
0.776,0.801,0.828,"NY","FullTime",0.9118
0.575,0.637,0.783,"NY","FullTime",0.7063
0.729,0.781,0.841,"NY","FullTime",0.8589
0.699,0.755,0.787,"NY","FullTime",0.8056
0.552,0.655,0.667,"NY","FullTime",0.8007
0.741,0.731,0.715,"NY","FullTime",0.6824
0.718,0.786,0.817,"NY","FullTime",0.8362
0.596,0.716,0.753,"NY","FullTime",0.6445
0.596,0.716,0.753,"NY","FullTime",0.7778
0.825,0.853,0.877,"NY","FullTime",0.8501
0.668,0.729,0.735,"NY","FullTime",0.7355
0.66,0.696,0.692,"NY","FullTime",0.6667
0.57,0.643,0.682,"NY","FullTime",0.7607
0.605,0.673,0.685,"NY","FullTime",0.7275
0.782,0.813,0.839,"NY","FullTime",0.8791
0.454,0.501,0.529,"NY","FullTime",0.7397
0.704,0.788,0.781,"NY","FullTime",0.7839
0.569,0.547,0.581,"NY","FullTime",0.583
0.615,0.661,0.664,"NY","FullTime",0.8138
0.737,0.799,0.812,"NY","FullTime",0.9348
0.691,0.751,0.784,"NY","FullTime",0.8336
0.653,0.752,0.786,"NY","FullTime",0.732
0.569,0.651,0.665,"NY","FullTime",0.592
0.714,0.78,0.818,"NY","FullTime",0.7952
0.276,0.449,0.573,"NY","FullTime",0.8148
0.647,0.682,0.671,"NY","FullTime",0.8771
0.596,0.704,0.704,"NY","FullTime",0.8186
0.735,0.796,0.832,"NY","FullTime",0.9026
0.665,0.761,0.775,"NY","FullTime",0.7902
0.689,0.721,0.796,"NY","FullTime",0.8426
0.567,0.697,0.727,"NY","FullTime",0.7371
0.691,0.746,0.782,"NY","FullTime",0.8154
NA,NA,NA,"NY","FullTime",0.8034
0.695,0.769,0.803,"NY","FullTime",0.8349
0.609,0.693,0.725,"NY","FullTime",0.6518
0.695,0.742,0.778,"NY","FullTime",0.8285
0.7,0.766,0.817,"NY","FullTime",0.8328
0.737,0.805,0.844,"NY","FullTime",0.9095
0.72,0.794,0.815,"NY","FullTime",0.8711
0.681,0.765,0.817,"NY","FullTime",0.898
0.639,0.741,0.767,"NY","FullTime",0.7812
0.586,0.662,0.714,"NY","FullTime",0.6621
0.58,0.678,0.744,"NY","FullTime",0.7806
0.683,0.794,0.826,"NY","FullTime",0.862
0.616,0.699,0.753,"NY","FullTime",0.8648
0.623,0.7,0.754,"NY","FullTime",0.7819
0.529,0.617,0.69,"NY","FullTime",0.7462
0.479,0.585,0.615,"NY","FullTime",0.8347
0.629,0.696,0.726,"NY","FullTime",0.7988
0.605,0.686,0.735,"NY","FullTime",0.8224
0.661,0.687,0.688,"NY","FullTime",0.5222
0.767,0.826,0.864,"NY","FullTime",0.9149
0.559,0.537,0.531,"NY","FullTime",0.8168
0.653,0.702,0.815,"NY","FullTime",0.9574
0.41,0.468,0.501,"NY","FullTime",0.6106
0.522,0.631,0.658,"NY","FullTime",0.8652
0.734,0.78,0.801,"NY","FullTime",0.7631
0.685,0.733,0.798,"NY","FullTime",0.9023
0.478,0.601,0.59,"NC","FullTime",0.575
0.623,0.688,0.746,"NC","FullTime",0.888
0.308,0.409,0.545,"NC","FullTime",0.4435
0.637,0.72,0.781,"NC","FullTime",0.7177
0.662,0.718,0.744,"NC","FullTime",0.8283
0.379,0.456,0.559,"NC","FullTime",0.7426
0.417,0.514,0.569,"NC","FullTime",0.7781
0.559,0.596,0.663,"NC","FullTime",0.6603
0.422,0.467,0.514,"NC","FullTime",0.6944
0.606,0.687,0.733,"NC","FullTime",0.7267
0.514,0.577,0.582,"NC","FullTime",0.5863
0.665,0.678,0.717,"NC","FullTime",0.8009
0.565,0.645,0.718,"NC","FullTime",0.5738
0.295,0.341,0.387,"NC","FullTime",0.4667
0.588,0.637,0.651,"NC","FullTime",0.6159
0.634,0.694,0.725,"NC","FullTime",0.68
0.488,0.574,0.632,"NC","FullTime",0.7859
0.513,0.586,0.644,"NC","FullTime",0.7466
0.747,0.813,0.842,"NC","FullTime",0.9647
0.67,0.749,0.773,"NC","FullTime",0.8328
0.6,0.655,0.702,"NC","FullTime",0.7752
0.467,0.517,0.595,"NC","FullTime",0.773
0.751,0.795,0.822,"NC","FullTime",0.9367
0.657,0.706,0.749,"NC","FullTime",0.8669
0.487,0.56,0.647,"NC","FullTime",0.6873
0.635,0.692,0.713,"NC","FullTime",0.6124
0.375,0.458,0.527,"NC","FullTime",0.4313
NA,NA,NA,"NC","FullTime",0.8125
0.8,0.844,0.882,"NC","FullTime",0.9433
0.495,0.561,0.616,"NC","FullTime",0.7564
0.586,0.675,0.713,"NC","FullTime",0.7896
0.688,0.742,0.696,"ND","FullTime",0.6354
0.795,0.809,0.812,"ND","FullTime",0.7537
0.657,0.672,0.731,"ND","FullTime",0.5564
0.664,0.708,0.724,"ND","FullTime",0.6923
0.768,0.814,0.823,"ND","FullTime",0.8077
0.771,0.816,0.825,"ND","FullTime",0.7913
0.446,0.55,0.475,"ND","FullTime",0.5106
0.714,0.754,0.721,"ND","FullTime",0.7152
0.563,0.633,0.647,"OH","FullTime",0.7275
0.674,0.73,0.761,"OH","FullTime",0.7707
0.673,0.731,0.805,"OH","FullTime",0.7844
0.578,0.682,0.744,"OH","FullTime",0.7697
0.327,0.385,0.449,"OH","FullTime",0.4667
0.521,0.549,0.607,"OH","FullTime",0.5076
0.645,0.696,0.725,"OH","FullTime",0.8607
0.532,0.525,0.583,"OH","FullTime",0.6545
0.619,0.676,0.711,"OH","FullTime",0.6982
0.788,0.864,0.853,"OH","FullTime",0.904
0.587,0.707,0.772,"OH","FullTime",0.6029
0.687,0.743,0.785,"OH","FullTime",0.2
0.325,0.329,0.37,"OH","FullTime",0.96
0.567,0.642,0.675,"OH","FullTime",0.4444
0.567,0.642,0.675,"OH","FullTime",0.6829
0.567,0.642,0.675,"OH","FullTime",0.6623
0.567,0.642,0.675,"OH","FullTime",0.625
0.567,0.642,0.675,"OH","FullTime",0.6301
0.567,0.642,0.675,"OH","FullTime",0.5478
0.567,0.642,0.675,"OH","FullTime",0.8019
0.567,0.642,0.675,"OH","FullTime",0.5992
0.766,0.824,0.821,"OH","FullTime",0.7174
0.616,0.63,0.674,"OH","FullTime",0.6683
0.648,0.717,0.719,"OH","FullTime",0.6958
0.784,0.798,0.764,"OH","FullTime",0.8889
0.676,0.752,0.766,"OH","FullTime",0.6362
0.676,0.752,0.766,"OH","FullTime",0.6855
0.676,0.752,0.766,"OH","FullTime",0.9086
0.879,0.871,0.863,"OH","FullTime",0.6667
0.642,0.71,0.73,"OH","FullTime",0.7939
0.669,0.72,0.734,"OH","FullTime",0.7149
0.652,0.657,0.753,"OH","FullTime",0.6737
0.644,0.71,0.725,"OH","FullTime",0.6866
0.683,0.729,0.738,"OH","FullTime",0.6211
0.687,0.744,0.785,"OH","FullTime",0.6466
0.687,0.744,0.785,"OH","FullTime",0.6825
0.687,0.744,0.785,"OH","FullTime",0.6992
0.687,0.744,0.785,"OH","FullTime",0.6783
0.687,0.744,0.785,"OH","FullTime",0.9422
0.596,0.675,0.707,"OH","FullTime",0.5659
0.596,0.675,0.707,"OH","FullTime",0.5714
0.596,0.675,0.707,"OH","FullTime",0.5721
0.596,0.675,0.707,"OH","FullTime",0.5608
0.596,0.675,0.707,"OH","FullTime",0.8002
0.596,0.675,0.707,"OH","FullTime",0.588
0.489,0.593,0.599,"OH","FullTime",0.4844
0.459,0.541,0.606,"OH","FullTime",0.6833
0.592,0.682,0.661,"OH","FullTime",0.872
0.587,0.694,0.778,"OH","FullTime",0.6448
0.609,0.691,0.737,"OH","FullTime",0.7449
0.712,0.695,0.689,"OH","FullTime",0.75
0.556,0.663,0.699,"OH","FullTime",0.5823
0.411,0.575,0.5,"OH","FullTime",0.4762
0.416,0.492,0.611,"OH","FullTime",0.3821
0.586,0.665,0.709,"OH","FullTime",0.6495
0.586,0.665,0.709,"OH","FullTime",0.7541
0.753,0.824,0.829,"OH","FullTime",0.8449
0.511,0.596,0.641,"OH","FullTime",0.7715
0.481,0.571,0.615,"OK","FullTime",0.4333
0.743,0.73,0.775,"OK","FullTime",0.5339
0.477,0.578,0.615,"OK","FullTime",0.6522
0.645,0.683,0.707,"OK","FullTime",0.6388
0.563,0.642,0.676,"OK","FullTime",0.4642
0.367,0.441,0.494,"OK","FullTime",0.5492
0.591,0.643,0.676,"OK","FullTime",0.628
0.605,0.647,0.674,"OK","FullTime",0.5448
0.59,0.617,0.684,"OK","FullTime",0.7843
0.579,0.62,0.677,"OK","FullTime",0.4028
0.715,0.767,0.781,"OK","FullTime",0.8089
0.605,0.633,0.702,"OK","FullTime",0.7239
0.732,0.782,0.8,"OK","FullTime",0.9211
0.549,0.618,0.67,"OK","FullTime",0.8122
0.541,0.607,0.613,"OK","FullTime",0.6217
0.484,0.573,0.578,"OK","FullTime",0.7174
0.587,0.626,0.657,"OK","FullTime",0.6367
0.424,0.533,0.525,"OK","FullTime",0.4403
0.622,0.657,0.686,"OK","FullTime",0.6564
0.681,0.74,0.768,"OK","FullTime",0.878
0.467,0.56,0.584,"OR","FullTime",0.3208
0.685,0.721,0.745,"OR","FullTime",0.7193
0.607,0.64,0.697,"OR","FullTime",0.68
0.644,0.702,0.751,"OR","FullTime",0.8336
0.559,0.565,0.585,"OR","FullTime",0.5714
0.787,0.816,0.795,"OR","FullTime",0.7948
0.21,0.367,0.45,"OR","FullTime",0.5
0.689,0.75,0.782,"OR","FullTime",0.8489
0.641,0.714,0.747,"OR","FullTime",0.8619
0.297,0.441,0.491,"OR","FullTime",0.6835
0.621,0.694,0.729,"OR","FullTime",0.7161
0.532,0.597,0.67,"OR","FullTime",0.7209
0.694,0.67,0.723,"OR","FullTime",0.6222
0.582,0.638,0.699,"OR","FullTime",0.7221
0.674,0.759,0.818,"PA","FullTime",0.8149
0.401,0.495,0.548,"PA","FullTime",0.2353
0.444,0.532,0.586,"PA","FullTime",0.5306
0.419,0.467,0.585,"PA","FullTime",0.6375
0.63,0.74,0.755,"PA","FullTime",0.7767
0.659,0.736,0.771,"PA","FullTime",0.7351
0.66,0.752,0.758,"PA","FullTime",0.6819
0.596,0.677,0.729,"PA","FullTime",0.7344
0.651,0.713,0.698,"PA","FullTime",0.7778
0.583,0.63,0.616,"PA","FullTime",0.4697
0.629,0.693,0.745,"PA","FullTime",0.7857
0.566,0.622,0.687,"PA","FullTime",0.7412
0.81,0.847,0.86,"PA","FullTime",0.8941
0.799,0.832,0.856,"PA","FullTime",0.8602
0.633,0.726,0.767,"PA","FullTime",0.6982
0.614,0.693,0.716,"PA","FullTime",0.7464
0.446,0.564,0.648,"PA","FullTime",0.6602
0.762,0.806,0.853,"PA","FullTime",0.8688
NA,NA,NA,"MD","FullTime",0.7778
0.693,0.759,0.796,"PA","FullTime",0.8517
0.746,0.752,0.776,"PA","FullTime",0.7778
0.582,0.663,0.724,"PA","FullTime",0.716
0.478,0.568,0.605,"PA","FullTime",0.72
0.61,0.684,0.733,"PA","FullTime",0.7368
0.526,0.545,0.642,"PA","FullTime",0.7561
0.44,0.518,0.619,"PA","FullTime",0.6809
0.603,0.639,0.734,"PA","FullTime",0.7023
0.612,0.657,0.686,"PA","FullTime",0.8638
0.589,0.658,0.73,"PA","FullTime",0.8192
0.646,0.707,0.779,"PA","FullTime",0.7737
0.759,0.808,0.835,"PA","FullTime",0.8534
0.553,0.66,0.722,"PA","FullTime",0.587
0.702,0.768,0.791,"PA","FullTime",0.8397
0.702,0.768,0.791,"PA","FullTime",0.7803
0.702,0.768,0.791,"PA","FullTime",0.5484
0.702,0.768,0.791,"PA","FullTime",0.8065
0.702,0.768,0.791,"PA","FullTime",0.765
0.702,0.768,0.791,"PA","FullTime",0.8063
0.702,0.768,0.791,"PA","FullTime",0.8223
0.702,0.768,0.791,"PA","FullTime",0.7578
0.702,0.768,0.791,"PA","FullTime",0.7779
0.702,0.768,0.791,"PA","FullTime",0.8766
0.702,0.768,0.791,"PA","FullTime",0.7414
0.702,0.768,0.791,"PA","FullTime",0.8019
0.702,0.768,0.791,"PA","FullTime",0.7811
0.702,0.768,0.791,"PA","FullTime",0.8287
0.702,0.768,0.791,"PA","FullTime",0.9307
0.702,0.768,0.791,"PA","FullTime",0.7261
0.702,0.768,0.791,"PA","FullTime",0.8281
0.702,0.768,0.791,"PA","FullTime",0.8299
0.702,0.768,0.791,"PA","FullTime",0.8214
0.702,0.768,0.791,"PA","FullTime",0.7698
0.661,0.717,0.742,"PA","FullTime",1
0.878,0.896,0.909,"PA","FullTime",0.9769
0.744,0.783,0.812,"PA","FullTime",0.8247
0.496,0.595,0.622,"PA","FullTime",0.75
0.701,0.768,0.83,"PA","FullTime",0.6592
0.701,0.768,0.83,"PA","FullTime",0.6459
0.701,0.768,0.83,"PA","FullTime",0.7188
0.701,0.768,0.83,"PA","FullTime",0.9266
0.542,0.62,0.659,"PA","FullTime",0.7802
0.832,0.853,0.863,"PA","FullTime",0.9073
0.715,0.748,0.825,"PA","FullTime",0.8641
0.772,0.833,0.869,"PA","FullTime",0.8663
0.641,0.696,0.769,"PA","FullTime",0.8485
0.645,0.747,0.788,"PA","FullTime",0.7073
0.686,0.766,0.79,"PA","FullTime",0.8959
0.458,0.511,0.552,"PA","FullTime",0.7
0.712,0.766,0.797,"PA","FullTime",0.8509
0.762,0.791,0.8,"PA","FullTime",0.8008
0.723,0.78,0.821,"PA","FullTime",0.7572
0.715,0.787,0.812,"PA","FullTime",0.8071
0.59,0.638,0.688,"RI","FullTime",0.7552
0.836,0.88,0.903,"RI","FullTime",0.9195
0.629,0.691,0.725,"RI","FullTime",0.7463
0.703,0.778,0.813,"RI","FullTime",0.8479
0.33,0.455,0.573,"MA","FullTime",0.6512
0.206,0.309,0.416,"SC","FullTime",0.363
0.553,0.63,0.673,"SC","FullTime",0.7455
0.544,0.617,0.668,"SC","FullTime",0.6565
0.263,0.345,0.434,"SC","FullTime",0.5266
0.51,0.587,NA,"SC","FullTime",0.8183
0.629,0.703,0.712,"SC","FullTime",0.774
0.624,0.696,0.713,"SC","FullTime",0.7809
0.76,0.806,0.83,"SC","FullTime",0.9264
0.488,0.539,0.596,"SC","FullTime",0.6142
0.424,0.439,0.554,"SC","FullTime",0.7308
0.466,0.528,0.61,"SC","FullTime",0.7185
0.536,0.653,0.698,"SC","FullTime",0.4928
0.609,0.636,0.683,"SC","FullTime",0.5145
0.48,0.561,0.631,"SC","FullTime",0.7039
0.593,0.645,0.698,"SC","FullTime",0.6818
0.582,0.583,0.678,"SC","FullTime",0.6219
0.703,0.763,0.778,"SC","FullTime",0.8823
0.566,0.661,0.708,"SC","FullTime",0.6714
0.351,0.443,0.537,"SC","FullTime",0.6857
0.628,0.68,0.691,"SC","FullTime",0.6754
0.569,0.66,0.694,"SC","FullTime",0.7647
0.737,0.776,0.793,"SD","FullTime",0.8575
0.537,0.611,0.661,"SD","FullTime",0.6929
0.659,0.704,0.722,"SD","FullTime",0.718
0.621,0.687,0.642,"SD","FullTime",0.7184
0.623,0.663,0.67,"SD","FullTime",0.7696
0.223,0.275,0.291,"SD","FullTime",0.7
0.795,0.826,0.847,"SD","FullTime",0.8008
0.731,0.76,0.799,"SD","FullTime",0.7721
0.7,0.757,0.738,"SD","FullTime",0.7296
0.671,0.742,0.76,"SD","FullTime",0.7243
0.528,0.578,0.629,"TN","FullTime",0.6851
0.803,0.858,0.808,"TN","FullTime",0.7231
0.622,0.681,0.735,"TN","FullTime",0.8501
0.601,0.637,0.681,"TN","FullTime",0.5975
0.621,0.709,0.751,"TN","FullTime",0.7964
0.652,0.705,0.747,"TN","FullTime",0.7864
0.536,0.605,0.633,"TN","FullTime",0.7592
0.404,0.568,0.634,"TN","FullTime",0.813
0.452,0.617,0.546,"TN","FullTime",0.7885
0.566,0.661,0.669,"TN","FullTime",0.7963
0.389,0.472,0.537,"TN","FullTime",0.6857
0.483,0.449,0.548,"TN","FullTime",0.7939
0.727,0.714,0.737,"TN","FullTime",0.7006
0.28,0.373,0.432,"TN","FullTime",0.5
0.34,0.466,0.511,"TN","FullTime",0.5291
0.507,0.599,0.629,"TN","FullTime",0.81
0.605,0.648,0.709,"TN","FullTime",0.7262
0.489,0.558,0.604,"TN","FullTime",0.4921
0.297,0.338,0.482,"TN","FullTime",0.7121
0.582,0.638,0.678,"TN","FullTime",0.7533
0.574,0.663,0.708,"TN","FullTime",0.7628
0.488,0.542,0.548,"TN","FullTime",0.7407
0.6,0.657,0.659,"TN","FullTime",0.7646
0.597,0.624,0.729,"TN","FullTime",0.6751
0.57,0.662,0.683,"TN","FullTime",0.7256
0.669,0.739,0.764,"TN","FullTime",0.8552
0.526,0.606,0.663,"TN","FullTime",0.761
0.508,0.598,0.654,"TN","FullTime",0.5815
0.605,0.678,0.741,"TN","FullTime",0.7854
0.677,0.659,0.72,"TN","FullTime",0.7639
0.592,0.655,0.714,"TN","FullTime",0.6541
0.793,0.872,0.894,"TN","FullTime",0.9662
0.661,0.706,0.733,"TX","FullTime",0.7654
0.602,0.67,0.729,"TX","FullTime",0.671
0.485,0.587,0.601,"TX","FullTime",0.6163
0.746,0.786,0.821,"TX","FullTime",0.8959
0.693,0.754,0.798,"TX","FullTime",0.6037
0.651,0.715,0.761,"TX","FullTime",0.5899
0.682,0.7,0.702,"TX","FullTime",0.7013
0.53,0.706,0.707,"TX","FullTime",0.5
0.649,0.686,0.704,"TX","FullTime",0.5678
0.642,0.683,0.727,"TX","FullTime",0.6697
0.478,0.601,0.59,"TX","FullTime",0.3163
0.639,0.777,0.727,"TX","FullTime",0.717
0.77,0.786,0.8,"TX","FullTime",0.7401
0.701,0.714,0.751,"TX","FullTime",0.7226
0.722,0.778,0.756,"TX","FullTime",0.5591
0.73,0.78,0.81,"TX","FullTime",0.8487
0.585,0.652,0.661,"TX","FullTime",0.4784
0.667,0.735,0.761,"TX","FullTime",0.7582
0.315,0.376,0.46,"TX","FullTime",0.4164
0.581,0.658,0.693,"TX","FullTime",0.6426
0.577,0.702,0.749,"TX","FullTime",0.7604
0.71,0.771,0.82,"TX","FullTime",0.8185
0.674,0.712,0.773,"TX","FullTime",0.7292
0.694,0.725,0.744,"TX","FullTime",0.6676
0.515,0.469,0.473,"TX","FullTime",0.8667
0.678,0.73,0.759,"TX","FullTime",0.7785
0.604,0.667,0.718,"TX","FullTime",0.6103
0.556,0.652,0.703,"TX","FullTime",0.7923
0.431,0.5,0.487,"TX","FullTime",0.6214
0.535,0.602,0.637,"TX","FullTime",0.7084
0.675,0.737,0.785,"TX","FullTime",0.7984
0.689,0.701,0.781,"TX","FullTime",0.8493
0.691,0.76,0.777,"TX","FullTime",0.7679
0.67,0.735,0.812,"TX","FullTime",0.7321
0.81,0.805,0.822,"TX","FullTime",0.9099
0.522,0.574,0.627,"TX","FullTime",0.7165
0.641,0.71,0.75,"TX","FullTime",0.7161
0.69,0.759,0.789,"TX","FullTime",0.777
0.563,0.65,0.661,"TX","FullTime",0.5776
0.661,0.726,0.763,"TX","FullTime",0.6716
0.631,0.689,0.719,"TX","FullTime",0.6806
0.806,0.844,0.856,"TX","FullTime",0.9166
0.721,0.76,0.792,"TX","FullTime",0.7083
0.768,0.813,0.854,"TX","FullTime",0.9455
0.744,0.782,0.831,"TX","FullTime",0.8757
0.546,0.632,0.683,"TX","FullTime",0.7392
0.712,0.75,0.767,"TX","FullTime",0.6356
0.768,0.814,0.817,"TX","FullTime",0.9057
0.707,0.76,0.791,"TX","FullTime",0.6568
0.66,0.731,0.769,"TX","FullTime",0.7359
0.431,0.524,0.567,"TX","FullTime",0.5742
0.747,0.804,0.822,"TX","FullTime",0.8415
0.712,0.751,0.749,"TX","FullTime",0.777
0.703,0.712,0.744,"TX","FullTime",0.4241
0.657,0.702,0.751,"TX","FullTime",0.6396
0.384,0.454,0.464,"TX","FullTime",0.559
0.669,0.72,0.765,"UT","FullTime",0.9003
0.516,0.6,0.673,"HI","FullTime",0.6159
0.515,0.543,0.62,"UT","FullTime",0.5593
0.417,0.441,0.528,"UT","FullTime",0.6154
0.441,0.509,0.555,"UT","FullTime",0.6429
0.545,0.61,0.655,"UT","FullTime",0.7109
0.606,0.67,0.698,"UT","FullTime",0.6891
0.611,0.66,0.696,"UT","FullTime",0.656
0.706,0.758,0.776,"UT","FullTime",0.9048
0.64,0.695,0.714,"UT","FullTime",0.6452
0.678,0.791,0.791,"UT","FullTime",0.8048
0.423,0.52,0.524,"VT","FullTime",0.7806
0.611,0.677,0.706,"VT","FullTime",0.6982
0.689,0.785,0.766,"VT","FullTime",0.7877
0.501,0.563,0.617,"VT","FullTime",0.6364
0.531,0.596,0.63,"VT","FullTime",0.6288
0.745,0.792,0.84,"VT","FullTime",0.793
0.751,0.794,0.82,"VT","FullTime",0.8253
0.482,0.634,0.667,"VT","FullTime",0.5192
0.748,0.778,0.748,"VT","FullTime",0.6636
0.677,0.756,0.782,"VT","FullTime",0.8631
0.735,0.837,0.871,"VA","FullTime",0.9494
0.553,0.625,0.73,"VA","FullTime",0.779
0.786,0.826,0.805,"VA","FullTime",0.675
0.65,0.675,0.707,"VA","FullTime",0.7928
0.746,0.803,0.823,"VA","FullTime",0.8783
0.614,0.698,0.737,"VA","FullTime",0.7751
0.768,0.818,0.855,"VA","FullTime",0.9027
0.576,0.622,0.641,"VA","FullTime",0.8391
0.676,0.727,0.768,"VA","FullTime",0.8069
0.532,0.622,0.696,"VA","FullTime",0.646
0.684,0.797,0.815,"VA","FullTime",0.8374
0.728,0.779,0.808,"VA","FullTime",0.7836
0.65,0.726,0.775,"VA","FullTime",0.7966
0.686,0.735,0.782,"VA","FullTime",0.757
0.797,0.84,0.909,"VA","FullTime",0.9301
0.637,0.694,0.748,"VA","FullTime",0.8066
0.444,0.537,0.598,"VA","FullTime",0.8103
0.59,0.679,0.744,"VA","FullTime",0.4839
0.503,0.646,0.72,"VA","FullTime",0.6545
0.792,0.849,0.868,"VA","FullTime",0.9304
0.629,0.701,0.751,"VA","FullTime",0.8278
0.786,0.834,0.876,"VA","FullTime",0.965
0.361,0.543,0.6,"VA","FullTime",0.5233
0.52,0.583,0.624,"WA","FullTime",0.2667
0.673,0.742,0.777,"WA","FullTime",0.7257
0.637,0.716,0.737,"WA","FullTime",0.7618
0.44,0.536,0.588,"WA","FullTime",0.6093
0.774,0.824,0.861,"WA","FullTime",0.9409
0.55,0.645,0.619,"WA","FullTime",0.7593
0.641,0.66,0.665,"WA","FullTime",0.797
0.7,0.773,0.78,"WA","FullTime",0.7637
0.681,0.746,0.782,"WA","FullTime",0.7936
0.756,0.809,0.829,"WA","FullTime",0.8436
0.685,0.684,0.733,"WA","FullTime",0.8601
0.728,0.779,0.802,"WA","FullTime",0.8085
0.755,0.801,0.832,"WA","FullTime",0.9436
0.647,0.714,0.768,"WA","FullTime",0.8118
0.631,0.723,0.75,"WA","FullTime",0.8514
0.455,0.504,0.468,"WV","FullTime",0.6535
0.598,0.665,0.741,"WV","FullTime",0.5926
0.491,0.538,0.606,"WV","FullTime",0.6397
0.451,0.542,0.597,"WV","FullTime",0.6519
0.418,0.52,0.593,"WV","FullTime",0.6534
0.508,0.602,0.632,"WV","FullTime",0.7173
0.491,0.537,0.672,"WV","FullTime",0.6204
0.615,0.704,0.758,"WV","FullTime",0.4607
0.588,0.664,0.687,"WV","FullTime",0.6494
0.447,0.481,0.532,"WV","FullTime",0.5927
